Date,Discharge (mWh),Battery (%),Time Delta
2024-07-12 21:49:48,83.83333333333334,99,0.8383333333333334
2024-07-12 22:04:14,360.8333333333333,84,0.24055555555555555
2024-07-12 22:13:53,16.083333333333332,83,0.16083333333333333
2024-07-12 22:37:23,1214.1666666666667,52,0.39166666666666666
2024-07-12 22:37:30,0.19444444444444445,51,0.0019444444444444444
2024-07-12 22:54:28,593.8333333333334,30,0.2827777777777778
2024-07-12 22:56:01,2.5833333333333335,29,0.025833333333333333
2024-07-12 23:04:42,144.72222222222223,19,0.14472222222222222
2024-07-12 08:44:11,395.72222222222223,35,1.978611111111111
2024-07-12 08:45:11,1.666666666666667,34,0.01666666666666667
2024-07-12 09:52:57,112.94444444444444,38,1.1294444444444445
2024-07-12 13:32:53,366.55555555555554,99,3.6655555555555557
2024-07-12 13:39:48,92.22222222222223,91,0.11527777777777778
2024-07-12 13:40:25,1.027777777777778,90,0.010277777777777778
2024-07-12 14:01:38,919.3888888888888,64,0.3536111111111111
2024-07-12 14:07:10,55.33333333333333,58,0.09222222222222222
2024-07-12 14:12:17,8.527777777777777,57,0.08527777777777777
2024-07-12 14:24:29,305.0,42,0.20333333333333334
2024-07-12 14:24:50,0.5833333333333334,41,0.005833333333333334
2024-07-12 14:44:27,719.2777777777777,19,0.3269444444444444
2024-07-12 12:21:01,6.361111111111112,89,0.06361111111111112
2024-07-12 13:09:02,1440.5,71,0.8002777777777778
2024-07-12 19:31:27,3824.1666666666665,65,6.373611111111111
2024-07-12 19:32:02,0.9722222222222222,64,0.009722222222222222
2024-07-12 19:32:37,0.9722222222222222,63,0.009722222222222222
2024-07-12 19:51:04,246.0,55,0.3075
2024-07-12 20:01:49,17.916666666666668,54,0.17916666666666667
2024-07-12 21:16:48,4249.055555555556,20,1.2497222222222222
2024-07-12 21:22:31,9.527777777777779,19,0.09527777777777778
2024-07-12 21:59:09,488.4444444444444,22,0.6105555555555555
2024-07-12 22:22:43,157.11111111111111,22,0.3927777777777778
2024-07-12 22:35:16,125.5,16,0.20916666666666667
2024-07-12 22:37:23,3.527777777777778,15,0.03527777777777778
2024-07-12 13:42:44,1383.0,97,4.61
2024-07-12 14:35:59,2130.0,73,0.8875
2024-07-12 15:57:13,541.5555555555555,69,1.353888888888889
2024-07-12 16:19:21,442.66666666666663,57,0.3688888888888889
2024-07-12 16:35:09,237.00000000000003,48,0.26333333333333336
2024-07-12 17:41:53,3225.4444444444453,19,1.1122222222222224
2024-07-12 17:44:51,4.944444444444445,18,0.049444444444444444
