Date,Discharge (mWh),Battery (%),Time Delta
2024-07-14 14:06:04,444.27777777777777,69,0.4038888888888889
2024-07-14 19:38:46,4436.0,61,5.545
2024-07-14 19:45:03,31.416666666666664,58,0.10472222222222222
2024-07-14 12:00:10,0.9722222222222222,49,0.009722222222222222
2024-07-14 12:38:04,568.5,40,0.6316666666666667
2024-07-14 12:42:12,6.88888888888889,39,0.0688888888888889
2024-07-14 12:55:57,68.75,36,0.22916666666666666
2024-07-14 13:34:55,1493.7222222222224,13,0.6494444444444445
2024-07-14 16:07:54,0.0,13,2.549722222222222
2024-07-14 16:08:29,0.9722222222222222,12,0.009722222222222222
2024-07-14 12:07:11,786.25,41,0.4625
2024-07-14 12:37:32,252.91666666666669,36,0.5058333333333334
2024-07-14 12:40:07,8.61111111111111,34,0.043055555555555555
2024-07-14 16:40:12,2400.8333333333335,28,4.001388888888889
2024-07-14 17:42:39,104.08333333333334,27,1.0408333333333335
2024-07-14 20:35:13,287.61111111111114,94,2.8761111111111113
2024-07-14 21:11:42,243.22222222222223,90,0.6080555555555556
2024-07-14 22:34:29,2897.416666666667,69,1.3797222222222223
2024-07-14 22:44:49,68.88888888888889,65,0.17222222222222222
2024-07-14 08:16:44,4.305555555555555,63,0.043055555555555555
2024-07-14 08:23:43,46.55555555555556,59,0.11638888888888889
2024-07-14 09:27:21,106.05555555555557,58,1.0605555555555557
2024-07-14 09:38:34,149.55555555555554,50,0.18694444444444444
2024-07-14 11:28:36,550.1666666666666,47,1.833888888888889
